feature_set,minimum_profiles,n_compounds,fold,r2,mae,spearman
128D_embedding_only,5,2624,1,0.1536325265472347,0.10865878447039581,0.40944261458727205
128D_embedding_only,5,2624,2,0.17709685252551888,0.11275414299573437,0.4677610649395156
128D_embedding_only,5,2624,3,0.16295562165994182,0.10755194668433588,0.42060855917313344
128D_embedding_only,5,2624,4,0.16711730160467242,0.1104191657540567,0.42495661894962045
128D_embedding_only,5,2624,5,0.1819466223048538,0.11039013366879519,0.5030087830480444
128D_embedding_only,5,2624,6,0.14700853534499314,0.11134681646493828,0.4016107999451642
128D_embedding_only,5,2624,7,0.17604639681270484,0.11345350838879535,0.4738497831901019
128D_embedding_only,5,2624,8,0.16748149759911402,0.11059494086044429,0.4347506937558124
128D_embedding_only,5,2624,9,0.15484805790801193,0.11312183578897521,0.4001420817682526
128D_embedding_only,5,2624,10,0.2152200521223565,0.10080726683454509,0.5266012981731544
128D_embedding_only,5,2624,11,0.16552749749835982,0.10507226784225095,0.4217797485700415
128D_embedding_only,5,2624,12,0.17306231709120568,0.11106200431925699,0.4202294679355095
128D_embedding_only,5,2624,13,0.1771256461305074,0.11507938948546324,0.4795412466197503
128D_embedding_only,5,2624,14,0.14108131626481724,0.11218396821768,0.42375007142235915
128D_embedding_only,5,2624,15,0.19659739360025663,0.10579328927483148,0.47499340010265395
130D_embedding_plus_step1_QC,5,2624,1,0.1535233640966387,0.1087355956535609,0.4061863346996246
130D_embedding_plus_step1_QC,5,2624,2,0.17489963378859907,0.11315996882320035,0.45746604114342126
130D_embedding_plus_step1_QC,5,2624,3,0.16468213319782887,0.1076756784863579,0.4239475183911089
130D_embedding_plus_step1_QC,5,2624,4,0.16894384865942846,0.11042518512481952,0.4296056444936153
130D_embedding_plus_step1_QC,5,2624,5,0.1792676388861234,0.11044496932817412,0.49786956971307933
130D_embedding_plus_step1_QC,5,2624,6,0.15164073117986399,0.1109567553216364,0.4127563423864357
130D_embedding_plus_step1_QC,5,2624,7,0.18068297949671497,0.11283693297768892,0.4900977603251588
130D_embedding_plus_step1_QC,5,2624,8,0.1672228310713625,0.11042516256483434,0.4422914857222415
130D_embedding_plus_step1_QC,5,2624,9,0.15167085063528107,0.11306256704678425,0.3992360026227866
130D_embedding_plus_step1_QC,5,2624,10,0.21022608264695208,0.10109797000074329,0.5183490978811053
130D_embedding_plus_step1_QC,5,2624,11,0.1613830574493893,0.10532360994914378,0.416299485858434
130D_embedding_plus_step1_QC,5,2624,12,0.17276543274459855,0.11104727758418116,0.4223520287165655
130D_embedding_plus_step1_QC,5,2624,13,0.1714977398674442,0.11598888464991365,0.46395885740396664
130D_embedding_plus_step1_QC,5,2624,14,0.14376909863367593,0.11157998106258642,0.4275374259374008
130D_embedding_plus_step1_QC,5,2624,15,0.19311935016373427,0.10591257264312699,0.4690792748543349
128D_embedding_only,10,1463,1,0.1610114997572607,0.08663255281077552,0.436596881024921
128D_embedding_only,10,1463,2,0.15724168024337004,0.08845993497481733,0.43712293463834645
128D_embedding_only,10,1463,3,0.16442839080984906,0.08226949346394219,0.4009056254161417
128D_embedding_only,10,1463,4,0.14722075546114632,0.08123506269879412,0.41639172128557866
128D_embedding_only,10,1463,5,0.12322333630351212,0.09413521430700157,0.3758261906471821
128D_embedding_only,10,1463,6,0.16782326772122436,0.08859011396114731,0.4199327686793196
128D_embedding_only,10,1463,7,0.15546608691848518,0.08532581700961842,0.40252075052415537
128D_embedding_only,10,1463,8,0.09553581524723587,0.08580185524504659,0.32374419224845286
128D_embedding_only,10,1463,9,0.15733446769305182,0.08656381307625735,0.41315133396716197
128D_embedding_only,10,1463,10,0.1718258336866456,0.08924057431566235,0.4724501197684974
128D_embedding_only,10,1463,11,0.18990444066609502,0.08473017756717012,0.5016416635349216
128D_embedding_only,10,1463,12,0.19231684705492036,0.08776846930805719,0.460154583508252
128D_embedding_only,10,1463,13,0.15110327948144864,0.08252205876342061,0.41855183490080367
128D_embedding_only,10,1463,14,0.1474043808008193,0.08524123066119732,0.3804735356308499
128D_embedding_only,10,1463,15,0.18697019938371973,0.08796390466220903,0.4745356329069066
130D_embedding_plus_step1_QC,10,1463,1,0.16362157272768096,0.08685375297953496,0.44179123702889767
130D_embedding_plus_step1_QC,10,1463,2,0.15431718198278133,0.08823026432328543,0.4241642423484893
130D_embedding_plus_step1_QC,10,1463,3,0.16338404853326827,0.08215291441920296,0.40956257047249806
130D_embedding_plus_step1_QC,10,1463,4,0.15533123286071449,0.08110245334225372,0.4223905734255187
130D_embedding_plus_step1_QC,10,1463,5,0.12586789699881795,0.09395402706940326,0.3829297552986337
130D_embedding_plus_step1_QC,10,1463,6,0.16360402282758046,0.0893375500178665,0.41586573295798407
130D_embedding_plus_step1_QC,10,1463,7,0.147819579405153,0.0861849454417183,0.3842097912490082
130D_embedding_plus_step1_QC,10,1463,8,0.1045340050236796,0.08554433134548073,0.33524495961827583
130D_embedding_plus_step1_QC,10,1463,9,0.16886625494493146,0.08567658485521346,0.4418123782222656
130D_embedding_plus_step1_QC,10,1463,10,0.16694991119218383,0.08958034634862562,0.4453897605341896
130D_embedding_plus_step1_QC,10,1463,11,0.18713300204496452,0.08537160495241448,0.49800923921012985
130D_embedding_plus_step1_QC,10,1463,12,0.18950048649172424,0.08797685401270541,0.4638060985423198
130D_embedding_plus_step1_QC,10,1463,13,0.14436521280857328,0.08321368949045468,0.4049428909536132
130D_embedding_plus_step1_QC,10,1463,14,0.14638494068883845,0.08509140684737784,0.38334282049786644
130D_embedding_plus_step1_QC,10,1463,15,0.17155888632342353,0.08905278007141926,0.4425633184037107
128D_embedding_only,20,801,1,0.14109871132882668,0.06321600098594037,0.37807566861902214
128D_embedding_only,20,801,2,0.08678639887415374,0.0633874393624176,0.330742654065668
128D_embedding_only,20,801,3,0.1232334543963346,0.06737104642204941,0.32900674514155753
128D_embedding_only,20,801,4,0.13319912219458474,0.06299853898550697,0.34331004871540965
128D_embedding_only,20,801,5,0.14212346825932165,0.06129314735378137,0.4046701043009493
128D_embedding_only,20,801,6,0.08239819000968418,0.06398977061855465,0.32466523224734656
128D_embedding_only,20,801,7,0.1301035947375183,0.06234774859855726,0.3490360951599672
128D_embedding_only,20,801,8,0.1354928547149653,0.06457984395425301,0.3411754365404899
128D_embedding_only,20,801,9,0.10690938058005073,0.06666642885910504,0.4143182455748252
