latent_dim,epoch,train_loss,val_loss,train_compound_mse,train_signature_mse,train_numeric_mse,train_categorical_bce,val_compound_mse,val_signature_mse,val_numeric_mse,val_categorical_bce,elapsed_min,best_val_loss_so_far,best_epoch_so_far,batch_size,lr
256,50,0.17186329377318452,0.17176618596661347,0.05874949637994301,0.10633259070431962,0.003001594703340884,0.012361776037366028,0.05828736596548978,0.10657980124995149,0.001145757462924539,0.013339731312921531,0.06199123064676921,0.17176618596661347,50,256,0.0003
128,50,0.3370119883118383,0.3422022576942982,0.14657765384662905,0.18352720805378428,0.003225108892259925,0.012524211117874226,0.14873996802939723,0.18563063422306558,0.005492169768043336,0.013466440780365515,0.0610081156094869,0.3422022576942982,50,256,0.0003
64,50,0.6470948937594038,0.6657037229474934,0.2750025016746099,0.3642237471069106,0.00696275351182824,0.01295218976079495,0.2841014481696668,0.373263210494361,0.00667749330722157,0.014007120041154035,0.060533535480499265,0.6657037229474934,50,256,0.0003
32,50,0.8397377485211788,0.8753821526721224,0.31945476609946843,0.5106898999658412,0.014787341163205008,0.013271230969158915,0.333380617875776,0.531652028003775,0.01565254271277958,0.014438011493587928,0.05992274681727092,0.8753821526721224,50,256,0.0003
