latent_dim,best_epoch,best_val_loss,best_checkpoint_test_loss,best_checkpoint_test_accuracy
32,10,0.04798086603164673,0.047875335003137585,0.9829273516048659
64,10,0.03809524695754051,0.03801631362199783,0.9867276242122234
128,10,0.03608315913677215,0.036024750094413756,0.9874944569837315
256,9,0.03508501499295235,0.03498139473676681,0.9879094240070351
