epoch,train_loss,val_loss,val_nonzero_mse,val_zero_mse,val_nonzero_sign_accuracy,elapsed_min,latent_dim,batch_size,lr,best_val_loss_so_far,best_epoch_so_far
1,0.5950394248180509,0.4520516304546599,0.4369175995806592,0.1570726056986171,0.86632782642572,3.117985661824544,64,128,0.0003,0.4520516304546599,1
2,0.4020007707154849,0.3763493755437584,0.3611008917913108,0.1566817180498714,0.9003400349916808,3.0480444351832072,64,128,0.0003,0.3763493755437584,2
3,0.3473273629925548,0.3443883631503768,0.3290817772760546,0.1575758693967973,0.9144765601630132,3.316584551334381,64,128,0.0003,0.3443883631503768,3
4,0.3145871713201429,0.3286430846441383,0.3132864801530618,0.1571281110276447,0.9206826761031875,3.379335951805115,64,128,0.0003,0.3286430846441383,4
5,0.2978974307702609,0.3226648250873677,0.3076777883762764,0.1541037012047585,0.9234132398256648,3.318019731839498,64,128,0.0003,0.3226648250873677,5
6,0.2817813262298073,0.3177487566481511,0.3024238143392636,0.1568011547128576,0.925368332160356,3.410464398066203,64,128,0.0003,0.3177487566481511,6
7,0.2704573602157247,0.3165340136814142,0.3014097486630027,0.1548346342408179,0.9259696155906262,3.4523900667826335,64,128,0.0003,0.3165340136814142,7
8,0.2610305565338169,0.315726534990489,0.2998941271344619,0.161889343735473,0.9261692617880862,3.7214188019434618,64,128,0.0003,0.315726534990489,8
9,0.2528679266154426,0.3157607635051096,0.3001003349852158,0.1597237491612439,0.9262994002909608,4.1660537679990135,64,128,0.0003,0.315726534990489,8
10,0.2471233706987754,0.3184967405487386,0.3019712483593462,0.1686015817616246,0.9260922171145698,5.81406706571579,64,128,0.0003,0.315726534990489,8
11,0.2417313228701648,0.3178073398686606,0.3017325006488606,0.1636859663066407,0.9258699599803168,4.193465979894002,64,128,0.0003,0.315726534990489,8
12,0.2354770896822611,0.3200322416090212,0.3037382423652078,0.1662765887866082,0.925643348147126,5.004830384254456,64,128,0.0003,0.315726534990489,8
13,0.2315722093201053,0.3202869295614592,0.304219419260176,0.1636636945568778,0.924880940856154,4.862852982680002,64,128,0.0003,0.315726534990489,8
14,0.2270268620615977,0.3212156921295956,0.3047824407458419,0.1668771127760524,0.9249687047885944,5.168250163396199,64,128,0.0003,0.315726534990489,8
15,0.2230859965212056,0.3237715839512881,0.3071612643913378,0.1690342903359035,0.9244252048634618,5.368554580211639,64,128,0.0003,0.315726534990489,8
16,0.2193151443466577,0.3247661208650186,0.3083777391697486,0.1664177505346439,0.9240701294116032,5.65567946434021,64,128,0.0003,0.315726534990489,8
17,0.2168644463880462,0.3257176156157918,0.3091124050461037,0.1685781702638187,0.923509713155981,5.749901382128398,64,128,0.0003,0.315726534990489,8
18,0.2134153007268685,0.326770415472672,0.310379821165966,0.1665892818821881,0.9230827851716472,5.587391912937164,64,128,0.0003,0.315726534990489,8
19,0.2109739234119889,0.3279506217199336,0.3113549734265489,0.168497891465925,0.922652842395741,6.294632414976756,64,128,0.0003,0.315726534990489,8
20,0.2085952955328126,0.3311149796651379,0.3142877213521733,0.1711242284291756,0.9220406722181262,5.97866841952006,64,128,0.0003,0.315726534990489,8
21,0.2062922920726249,0.3312867503606535,0.3146314046472928,0.1692871681095133,0.922032800262354,6.062889063358307,64,128,0.0003,0.315726534990489,8
22,0.2044871937431307,0.3325649986085198,0.3159224045761417,0.1689366984691349,0.9211042444580594,7.248772116502126,64,128,0.0003,0.315726534990489,8
23,0.202029975217022,0.3367730966500503,0.3199108287461046,0.1715518168835055,0.9206156807349124,5.6446269710858665,64,128,0.0003,0.315726534990489,8
24,0.2008973814421646,0.3351711425963753,0.3181595510096558,0.1724580846619333,0.9206779864274084,6.49487582842509,64,128,0.0003,0.315726534990489,8
25,0.1988577461605249,0.3359110753302889,0.3191009429040662,0.1706344091258134,0.9202761817061778,6.166792964935302,64,128,0.0003,0.315726534990489,8
26,0.1971463597582198,0.3369761337252224,0.3200568068448267,0.1714455981902138,0.919608237884474,6.8043811321258545,64,128,0.0003,0.315726534990489,8
27,0.1955808533794472,0.3392869233013332,0.3220701553814679,0.174636539831374,0.9196368784044116,6.913755782445272,64,128,0.0003,0.315726534990489,8
28,0.1942709824839527,0.3395060712685476,0.3224085264803694,0.1732155902546983,0.9188582247366328,7.097362514336904,64,128,0.0003,0.315726534990489,8
29,0.193137124988069,0.3416499907135075,0.3245159737409874,0.1736342423924895,0.9186703027286208,6.526126348972321,64,128,0.0003,0.315726534990489,8
30,0.1919479475797408,0.3428045038144385,0.3255158542602438,0.1752706765668843,0.9185143710089604,6.062456480662028,64,128,0.0003,0.315726534990489,8
31,0.1904661233952715,0.3438279512392167,0.3265119545135052,0.1755479429746014,0.917947590193352,6.322892196973165,64,128,0.0003,0.315726534990489,8
32,0.18956831404975102,0.3441424411686839,0.3269020605611017,0.17470905987972873,0.9174335682302605,2.526607632637024,64,128,0.0003,0.315726534990489,8
33,0.1878502681989302,0.346654280702467,0.32911834225545894,0.17790866440734746,0.9174710856364945,2.707719933986664,64,128,0.0003,0.315726534990489,8
34,0.18712653829982773,0.3488900991873909,0.3311243129598813,0.18010225702955393,0.9170156846206438,2.9539099375406903,64,128,0.0003,0.315726534990489,8
35,0.1861566818584752,0.3485839150801986,0.33131518057235443,0.1751892240132036,0.9165694954679309,2.9955383857091267,64,128,0.0003,0.315726534990489,8
36,0.1851170817573019,0.3480882021047571,0.330999865628489,0.17324341689582778,0.9159698869218676,3.041800383726756,64,128,0.0003,0.315726534990489,8
37,0.18428602147610668,0.35035173056396945,0.33278169969725,0.17799466891711518,0.9161017003089491,3.0312467217445374,64,128,0.0003,0.315726534990489,8
38,0.183362196234441,0.3515315164247087,0.3340416360852002,0.1774809364039988,0.9155536781964579,3.04867551724116,64,128,0.0003,0.315726534990489,8
39,0.1824553590421152,0.35131833901939374,0.33390565168032965,0.1763626786167242,0.9153438152053358,3.0191412846247356,64,128,0.0003,0.315726534990489,8
40,0.181618871621701,0.3528824186083164,0.33537626511200913,0.1773283637874271,0.9150286019976009,3.0903997977574664,64,128,0.0003,0.315726534990489,8
41,0.18080425848811274,0.3538921706678933,0.33632510533425286,0.1779558503476761,0.9147725122023689,3.0850598653157553,64,128,0.0003,0.315726534990489,8
42,0.180303149251791,0.35444514265471977,0.3369776482358361,0.1767092626768971,0.91452446185133,3.1408047676086426,64,128,0.0003,0.315726534990489,8
43,0.17930856263210665,0.3556932821284215,0.3380334684155361,0.17869332938584992,0.9141817805426022,4.235626149177551,64,128,0.0003,0.315726534990489,8
44,0.17847649344982497,0.35869699780107495,0.3407898837467583,0.1814073232638806,0.9140245089155761,3.3828155636787414,64,128,0.0003,0.315726534990489,8
45,0.1779843837781613,0.3584873875645663,0.3406525044773842,0.1805027550908686,0.9136682610447727,3.45288591782252,64,128,0.0003,0.315726534990489,8
46,0.17724243983054253,0.3593948024681286,0.3415447247810382,0.18082899646124329,0.913437796977906,3.389377931753794,64,128,0.0003,0.315726534990489,8
47,0.17649025804249985,0.3597799309828641,0.34197856149916245,0.18029955119769084,0.9131718253658533,3.637871253490448,64,128,0.0003,0.315726534990489,8
48,0.17599692482901108,0.3606566363118346,0.3429754380219986,0.17895034877497976,0.9124990243799495,3.769014632701874,64,128,0.0003,0.315726534990489,8
49,0.1756261369781464,0.3618044596449624,0.34397672730860596,0.18052655855724184,0.9126289953944035,3.717912018299103,64,128,0.0003,0.315726534990489,8
50,0.17475930253419045,0.3621935898851007,0.3442552726558656,0.18144367373106693,0.9123405803339786,4.267407365640005,64,128,0.0003,0.315726534990489,8
