model,best_epoch,best_val_loss,best_val_nonzero_mse,best_val_zero_mse,best_val_nonzero_sign_accuracy,final_epoch,final_val_loss,final_val_nonzero_sign_accuracy
64D no dropout,8,0.315726534990489,0.2998941271344619,0.161889343735473,0.9261692617880862,50,0.3621935898851007,0.9123405803339786
128D no dropout,18,0.2861289122770355,0.2706273882736562,0.1590844223358284,0.9393382063531038,50,0.3078022522207339,0.9344177315301306
