epoch,train_loss,val_loss,train_compound_mse,train_signature_mse,train_numeric_mse,train_categorical_bce,val_compound_mse,val_signature_mse,val_numeric_mse,val_categorical_bce,elapsed_min,latent_dim,batch_size,lr,best_val_loss_so_far,best_epoch_so_far
1,3.2507082491717787,2.180592810771379,2.230772368414787,0.9079902255924496,0.3879039255038153,0.06872975235373342,1.3564058200930051,0.8058822790791036,0.03467817768515226,0.022738152498503115,0.10662686824798584,128,256,0.0003,2.180592810771379,1
2,1.8602418808095262,1.626789893603699,1.1175911780308507,0.7245211138121223,0.03797913141401376,0.02106754231747042,0.9541300351456797,0.6581274949996401,0.02309024922842542,0.019828601877806207,0.05957655111948649,128,256,0.0003,1.626789893603699,2
3,1.4656025001588202,1.3433193689842904,0.8421736897531168,0.6079593138476427,0.029531413435936352,0.019126424114835595,0.7596092782672822,0.5706978636551646,0.01849543864089258,0.018626255822458866,0.05866516828536987,128,256,0.0003,1.3433193689842904,3
4,1.2478530363899625,1.1701029277841133,0.6963006089216082,0.5378116559670111,0.023505978359518138,0.018079155741817416,0.6439853728513967,0.5138727557373542,0.016641482932869666,0.017833015824212286,0.05992181698481242,128,256,0.0003,1.1701029277841133,4
5,1.108180927471444,1.0644603769007925,0.6043764267349636,0.49115447685797253,0.019848864509445875,0.017360501862145956,0.572424334244732,0.4791749822978046,0.021138575192064725,0.017266680184119948,0.059690666198730466,128,256,0.0003,1.0644603769007925,5
6,1.0064339315203423,0.970479110203737,0.5379292876780636,0.4564716936520495,0.018064730167484073,0.016840009845605665,0.5125994318268536,0.4465379499248078,0.014485248784059464,0.01688935993214882,0.06395083665847778,128,256,0.0003,0.970479110203737,6
7,0.9256708494676064,0.9065664325190396,0.48590202241421104,0.42850382704951934,0.01528229225877776,0.016417087872311997,0.46900577560571916,0.4228351882606249,0.03235210032308593,0.01651009403179707,0.059426649411519365,128,256,0.0003,0.9065664325190396,7
8,0.8611377801924808,0.840425147675967,0.4451936326135331,0.40535624790337266,0.01275403868882135,0.01607418237262385,0.4306284106426336,0.4005039635661866,0.005983751990555289,0.016192052884658942,0.05876290003458659,128,256,0.0003,0.840425147675967,8
9,0.8089774877902862,0.7941252319657731,0.4117299188421887,0.3867169087847032,0.01320156719395398,0.015780685689251825,0.40002861555683755,0.3832037211990998,0.014443300198159068,0.01600848027184794,0.06113593180974324,128,256,0.0003,0.7941252319657731,9
10,0.7624613915357003,0.7481385420756822,0.38174312891661494,0.3702844403416287,0.013343054907752873,0.015530424401397895,0.37173763197146215,0.36743672084290596,0.00546535860463954,0.015742238846424055,0.06041635274887085,128,256,0.0003,0.7481385420756822,10
11,0.7223262758570722,0.712936090125844,0.3574570272083889,0.35512978965812136,0.010414774779445777,0.015313005061362432,0.35182982569923793,0.3522818666604394,0.005068661895719414,0.01562132286236515,0.06016711393992106,128,256,0.0003,0.712936090125844,11
12,0.6889604886433683,0.6814161652195035,0.33737235998622267,0.3419834885021872,0.010211355157702077,0.015124733526117349,0.3316076628280814,0.34071303483559956,0.006674200167414955,0.01552125881725559,0.059751001993815105,128,256,0.0003,0.6814161652195035,12
13,0.6605186976527359,0.6547859218598088,0.3203052687263729,0.33077856210466233,0.009766474067851798,0.014963144258295353,0.31483238335414376,0.329164432488126,0.015639052320846374,0.015322594893187247,0.058871201674143475,128,256,0.0003,0.6547859218598088,13
14,0.6363343520355692,0.6316267809183528,0.3058166858341376,0.32113936623660083,0.009908885652873328,0.014793054024457002,0.30113427523357816,0.32156003609776257,0.006680849443201781,0.015192612783826609,0.057510316371917725,128,256,0.0003,0.6316267809183528,14
15,0.6126428504329406,0.6116542175375246,0.2917828379692051,0.3117849583467875,0.008733631454327992,0.014656658895630113,0.2916398229086032,0.3109472099518841,0.007603167354969127,0.015093096800453615,0.05905778408050537,128,256,0.0003,0.6116542175375246,15
16,0.5917790602185133,0.5929930389356574,0.2796910062202971,0.30335748640717713,0.0073355185047280155,0.01452692616996849,0.2807836616656919,0.3036507335376616,0.0052653144069313195,0.015011170607292778,0.059601513544718425,128,256,0.0003,0.5929930389356574,16
17,0.5741447686215947,0.5715129794652947,0.26947558757941686,0.29582028778927294,0.008201170049347745,0.014417320208853206,0.2664192940041319,0.2968050088220344,0.0041072425288732435,0.014934461512824347,0.059879700342814125,128,256,0.0003,0.5715129794652947,17
18,0.5582668173626838,0.5573329780834224,0.26036060454206095,0.289296109276198,0.00726710609775408,0.014313364309730056,0.2582495951791813,0.29082900871004247,0.004221531579654128,0.014820125540939368,0.060038165251413984,128,256,0.0003,0.5573329780834224,18
19,0.5448734691877125,0.5453801318646097,0.2527512744843731,0.2834829395264698,0.007641709623515274,0.014221823433645468,0.2528282678121661,0.2837678566284871,0.0070543790747337135,0.014746253916290931,0.05895536740620931,128,256,0.0003,0.5453801318646097,19
20,0.5320847039933864,0.5350535918010895,0.2457074330243061,0.27792749794382626,0.0069347819781841675,0.014125631995004696,0.2452361880396356,0.27876998768158934,0.018406238647613746,0.014732337813874098,0.06041787068049113,128,256,0.0003,0.5350535918010895,20
21,0.5200853795259733,0.5189271741319713,0.23903475337424748,0.27260467191999754,0.00711008880462801,0.014047871829644128,0.2382674468713092,0.27269889180935725,0.0032650490582860265,0.01461565928619628,0.05996463298797607,128,256,0.0003,0.5189271741319713,21
22,0.5076218581943112,0.5109342084602919,0.23200731550156636,0.26730982794828406,0.006609127677197483,0.013965777807672379,0.235543061355119,0.267514451692789,0.002956480445621882,0.014570795772532343,0.060066401958465576,128,256,0.0003,0.5109342084602919,22
23,0.49617751567066865,0.501370125659365,0.22558446565829945,0.26229935470798477,0.006725665158792665,0.013897119568688719,0.22472415163991696,0.2642487792504181,0.025456748580522496,0.014611680116462663,0.0603113849957784,128,256,0.0003,0.501370125659365,23
24,0.48574368801356144,0.48620674772075734,0.21948700598572787,0.2580993949595922,0.006217234308695171,0.013827682921061814,0.2195497425461018,0.2589162076488937,0.002556833672010452,0.014458859400030334,0.06010885238647461,128,256,0.0003,0.48620674772075734,24
25,0.4753902308657279,0.4737502468542578,0.2136496783269121,0.253761031959034,0.0054853709485150354,0.013764891997327836,0.21181397417543293,0.25414369645991575,0.0030102933236882206,0.01438103156434903,0.05967556635538737,128,256,0.0003,0.4737502468542578,25
26,0.46477000230306637,0.4665637680297616,0.20754928538145845,0.24919469725428273,0.005847084409319992,0.013713202497084517,0.20765687602829458,0.25093803931742986,0.0039628610623797965,0.0143525652097406,0.06131085157394409,128,256,0.0003,0.4665637680297616,26
27,0.45544388711635636,0.4591682752442447,0.2022228064921263,0.24524331867315735,0.005770785752028851,0.013647207996824869,0.20191426605257026,0.24862111222922667,0.007372381186947468,0.014316845736025034,0.0598444660504659,128,256,0.0003,0.4591682752442447,27
28,0.4474402815945809,0.4515515527674007,0.19794982514889292,0.24169334703034978,0.004986999717423118,0.013599417611365024,0.20082608449385916,0.2424312306628041,0.005775718983809282,0.014278184951616195,0.059904050827026364,128,256,0.0003,0.4515515527674007,28
29,0.44011412132998473,0.4431418626287056,0.1940300629511237,0.23832787966476016,0.004909746390636143,0.0135484617803974,0.1958072873945432,0.239526033816534,0.003243879712831194,0.014319529213476432,0.05879123210906982,128,256,0.0003,0.4431418626287056,29
30,0.4325793369636178,0.4324859735022522,0.1896913230923772,0.2348954097348309,0.006192033134122771,0.01350839489581047,0.19022831025131193,0.23478521319244935,0.0018680733550805104,0.014197669624772275,0.05966915289560954,128,256,0.0003,0.4324859735022522,30
31,0.42485788595579793,0.4274710906687304,0.1859455860527424,0.23109746014771437,0.005421967206400956,0.013460893646940447,0.18632059962447273,0.23335123684173292,0.0035081628908870473,0.01419524261946663,0.060390396912892656,128,256,0.0003,0.4274710906687304,31
32,0.4182799030268458,0.41932806829191727,0.1827279712063483,0.22802019557247283,0.0041411867899567075,0.013406996095755578,0.183013974074404,0.22869663639571158,0.0026525717579449584,0.014173883027606487,0.060576482613881426,128,256,0.0003,0.41932806829191727,32
33,0.41184410275681677,0.4120135891434717,0.17964207414314898,0.22456661495525254,0.004754634353864498,0.013368969104547754,0.17952850143919022,0.2249269023736365,0.0024278606323308335,0.01414522887965442,0.05964813232421875,128,256,0.0003,0.4120135891434717,33
