name,pubchem_cid,smiles,valid_smiles,has_metal,metal_count,metal_symbols,metal_category
ru-42173,3086576,CC(C)N[C@@H]1CCn2c3c(cccc3[nH]c2=O)[C@H]1O,True,False,0,,No metal
(r)-baclofen,6918881,NC[C@H](CC(O)=O)c1ccc(Cl)cc1,True,False,0,,No metal
raloxifene,5035,Oc1ccc(cc1)-c1sc2cc(O)ccc2c1C(=O)c1ccc(OCCN2CCCCC2)cc1,True,False,0,,No metal
butaprost,5311035,CCCC1(CCC1)[C@H](O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,True,False,0,,No metal
aee788,10297043,CCN1CCN(Cc2ccc(cc2)-c2cc3c(N[C@H](C)c4ccccc4)ncnc3[nH]2)CC1,True,False,0,,No metal
thiamet-g,24808478,CCNC1=N[C@H]2[C@H](O[C@H](CO)[C@@H](O)[C@@H]2O)S1 |t:3|,True,False,0,,No metal
mek1-2-inhibitor,54483521,Nc1ccc(SC(=N)C(C#N)c2ccccc2C(F)(F)F)cc1,True,False,0,,No metal
abamectin,6858005,"[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@@]4([H])C[C@H](OC)[C@@H](O[C@@]5([H])C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@@]5(O[C@H](C(C)C)[C@@H](C)C=C5)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O |c:4,54,t:6,37,64|",True,False,0,,No metal
gsk356278,10252640,CCn1ncc2c(NC3CCOCC3)c(cnc12)-c1nnc(Cc2sc(C)nc2C)o1,True,False,0,,No metal
salinomycin,3085092,CC[C@H]([C@H]1CC[C@H](C)[C@@H](O1)[C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]1O[C@@]2(O[C@@]3(CC[C@](C)(O3)[C@H]3CC[C@](O)(CC)[C@H](C)O3)[C@H](O)C=C2)[C@H](C)C[C@@H]1C)C(O)=O |c:46|,True,False,0,,No metal
