name,pubchem_cid,TSNE1,TSNE2
kl-001,1367681,37.148346,15.036788
fenspiride,3344,-41.958054,15.806665
rimcazole,53389,23.524525,-19.429678
cgp-78608,6604872,-21.385479,0.4499843
mn-64,2802462,-12.406406,80.29003
liraglutide,16153050,60.43392,-29.221495
bexagliflozin,25195624,-5.688766,68.500336
cinobufotalin,259776,-82.13823,-19.821089
alisertib,24771867,60.238197,10.865653
butibufen,71314316,-47.542747,39.259476
miridesap,125516,-18.174366,-42.88937
efaroxan,11957548,8.669219,61.200706
am-580,2126,-5.16117,16.446299
l-152804,969478,-11.960955,79.94639
a61603,6604803,-4.475223,40.490185
tangeritin,68077,-5.817475,89.11543
kaempferol,5280863,-9.414752,88.54765
nialamide,4472,11.04949,-16.578276
efatutazone,76962475,67.70134,-6.7416353
doxercalciferol,46931009,-65.755264,-15.065865
pf-06273340,66571548,48.538246,-42.98018
cintirorgon,124126348,10.65937,39.330326
neridronic-acid,71237,-41.147514,-51.260864
tyrphostin-ag-99,5328768,-21.378666,64.329155
nampt-in-1,92044379,47.02899,3.7416534
vanillylacetone,31211,-17.664137,70.351555
nsc-663284,379077,9.465994,-16.489334
sitaxentan,216235,13.222545,16.263142
osemozotan,198747,-0.44829813,60.613678
drofenine,38988270,-39.33731,38.44167
semapimod,492132,-16.388939,-1.6126977
erteberel,10286159,-11.799151,66.777016
inc-280,25145656,45.71408,-35.17319
acoziborole,44178354,-6.021404,17.280327
merimepodib,153241,54.09797,19.08346
cnx-2006,56968072,64.76186,-1.7259662
s63845,122197581,54.83957,0.43915135
estrone,5870,-27.639423,69.110344
fk-3311,164009,19.648539,39.682552
tubocurarine,6000,23.809502,71.13522
droxidopa,92974,-13.666465,44.414986
amphotericin-b,91827561,-60.876984,-23.362373
s18986,637863,-33.84313,-13.418941
luzindole,122162,22.427044,-12.475596
posaconazole,468595,77.87967,-8.151782
diphemanil,6127,-52.18287,12.26765
methoxyamine,4113,-48.62348,-50.8674
perphenazine,4748,-39.009613,-7.4393797
ap-18,9584673,-58.95936,15.03796
isoleucine,76551,-23.952787,-38.092316
vlx600,6806409,26.803257,-57.52914
lamivudine,60825,-13.852735,-75.66982
hemomex-s,11468733,-68.528305,-15.626429
baloxavir-marboxil,124081896,-29.566479,12.0389
allylestrenol,235905,-68.85576,-14.03982
fulvestrant,57300161,-29.312807,69.294174
rwj-21757,135410906,-17.308409,-78.65746
ttp-22,1536915,26.241842,-36.78747
jnj-26990990,11687376,-55.112087,4.35816
taurocholate,6675,-69.5818,-21.752575
acy-1215,53340666,38.82196,-32.558094
aniracetam,2196,16.601608,52.46034
nocodazole,4122,52.479378,-43.68492
tenofovir,464205,9.9764,-68.03858
opicapone,135565903,57.072086,25.126598
trans-2-undecenoic-acid,5282728,-51.063095,-34.775833
brefeldin-a,5287620,-55.31524,-24.094143
xibenolol,12179892,4.445268,63.025894
plx647,11545419,32.2999,-51.58499
ak-7,1328033,-11.073931,-3.2286246
bi-2536,11364421,64.527855,3.9263296
d-delta-tocopherol,92094,-12.2481,70.258644
yk-4-279,93948843,25.89278,38.679726
ha-130,46911532,13.643054,61.41029
pd-407824,4369491,21.531097,-1.1958148
bx-912,11754511,34.94491,-46.20086
itopride,3792,23.451471,61.581425
azm-475271,5330175,63.53755,18.604782
cilazapril,56330,-31.454967,29.755905
methylprednisolone-sodium-succinate,16923,-82.89574,-10.893786
benfluralin,2319,-28.704576,0.96525794
"cp-105,696",9867257,-8.804355,80.729256
nedocromil,50294,22.16242,33.73931
l-ergothioneine,3037043,-30.789196,-40.345856
ikk-2-inhibitor,2807869,-33.880104,6.9815626
modaline,17860,-0.40605733,-59.918133
ite,4668801,0.7658059,-15.601301
istaroxime,9841834,-72.1499,-22.70229
ro-90-7501,824226,43.271484,-53.99007
edelfosine,6610230,-33.107197,-63.21076
t-5601640,9438169,16.500551,14.905631
3-mppi,4013695,36.000046,15.72827
asunaprevir,16076883,47.944786,5.696584
geniposide,107848,-57.521202,-22.399817
jnj-38877605,46911863,26.54405,-58.960945
treprostinil,6918140,-11.873161,72.92956
morphothiadin,129387808,-2.955799,-23.86777
shp099,118238298,21.630568,-43.071552
fimasartan,9870652,-41.09127,6.817994
amfenac,2136,-4.0002785,12.951889
mirin,137319711,-21.141949,64.39138
urb597,1383884,19.899681,52.80811
atiprimod,129869,-38.412766,-57.905
cyacetacide,8820,-40.92147,-46.939198
(r)-(-)-apomorphine,6005,-19.009052,52.281376
sodium-nitrite,129009887,-47.930206,-50.78093
iododexetimide,14479849,-41.124794,20.8512
ly404187,66857735,-50.830757,2.2978601
fgin-1-27,132496,19.224312,-6.619025
apy0201,56927660,30.794624,-58.95138
ethoxzolamide,3295,50.32439,-4.0663447
methyl-aminolevulinate,157922,-25.665945,-36.5324
inx-08189,49862762,82.10697,-5.4565225
nhi-2,51355147,23.895578,1.503048
letrozole,3902,-42.947815,5.620262
nadifloxacin,9850038,2.8888762,8.278977
skf-81297,11957706,-17.14682,50.33827
tolonium,91311512,-35.700104,-7.463024
corticosterone,5753,-78.00605,-11.881438
kpt-276,71496742,-11.867993,-15.711082
mozavaptan,11441742,-12.495314,5.431434
ac-186,71245042,-26.333902,63.917046
dspc,5313335,-34.980362,-65.58708
kifunensine,130611,-19.229227,-78.24996
gdc-0941,17755052,31.963356,-57.497387
oxyphenbutazone,448033,2.399557,28.421066
ec-144,11517212,72.82006,-5.6658807
phenacaine,7588,6.5362287,33.50506
ravuconazole,467825,37.965652,-18.306597
bms-ccr2-22,24801690,-7.6909056,-3.106234
act-132577,25099191,59.67294,-4.394645
kme-4,6438990,-23.601597,67.63426
ostarine,11326715,13.3939905,32.814793
cu-t12-9,91826088,35.03298,-50.53893
sulbutiamine,3002120,8.260142,-57.90927
ilaprazole,76968095,66.83301,-10.437274
tacedinaline,2746,-9.384509,5.8322506
nbi-98782,14580381,21.893349,70.61058
clenbuterol,688428,-21.817646,41.444298
galidesivir,10445549,37.469875,-61.408836
tg-003,1893668,4.711373,35.619087
valrocemide,6918293,-26.298386,-48.815525
bosutinib,5328940,58.55281,17.069613
parachlorophenol,4684,-23.038132,58.810745
pyridoxamine,11205997,39.448975,-3.7980123
plurisin-1,225362,11.81094,-17.814621
fenbufen,3335,-48.54419,40.693676
propranolol-(s),91536,4.0724125,63.951027
itx3,1362865,45.073536,-51.770233
sodium-danshensu,179536,-20.436745,69.72946
lupanine,91471,-33.193527,-54.959866
isodibut,145949,-39.379246,23.987785
eliprodil,9798372,-31.43277,45.966072
gw-542573x,24885053,8.780915,34.083282
ttnpb,5289501,-49.26767,41.79358
riociguat,11304743,29.61378,-57.622383
ko143,10322450,37.49217,17.975395
e7449,135565981,-5.240509,3.1124592
benzoylpas,10718,2.6690936,22.873985
sj-733,89508529,11.991989,-13.42836
fosfluconazole,214356,-26.327284,38.86388
istradefylline,5311037,80.36334,5.885952
amcasertib,122412734,0.7955038,-16.325523
moxidectin,9832912,-59.669655,-22.296904
ono-ae3-208,92978378,-8.113808,13.814172
sb-415286,4210951,0.8790436,18.644663
tboa-(dl),90479771,-40.552555,41.18007
cc-115,58298318,42.426136,-41.052757
azd5069,56645576,53.505863,-13.308279
blonanserin,125564,24.94218,-44.973507
bp-554,134117,6.8402166,36.182674
diethylcarbamazine,3052,-31.111664,-52.86744
glesatinib,25181472,51.045742,-0.21050632
