name,pubchem_cid,TSNE1,TSNE2
chir-98014,53396311.0,42.778328,22.421013
dizocilpine-(+),180081.0,-70.67706,16.624495
amineptine,38988248.0,-44.018276,36.464863
lb42708,10099206.0,65.467834,6.1353135
p-dimethylinamyl-benzoate,26890.0,-34.761395,-40.32275
tc2559,9823180.0,-33.050556,-45.077156
anisindione,2197.0,-71.03487,9.113495
dmh1,50997747.0,69.579865,9.009614
butabindide,9817923.0,-24.177935,-45.728962
way-100635,5684.0,-23.64053,18.56235
pivmecillinam,,16.251896,-34.878044
lercanidipine,9809926.0,25.553526,23.298378
asp-9521,25210792.0,-51.680153,8.366432
sb-452533,9842609.0,-42.270817,37.063046
resibufogenin,6917974.0,-29.511229,-32.00457
vinburnine,71203.0,-61.67555,26.91727
kl-001,1367681.0,57.893856,41.822327
fenspiride,3344.0,-37.21072,-50.73951
rimcazole,53389.0,-0.46519896,74.92996
cgp-78608,6604872.0,-27.845085,-10.811771
mn-64,2802462.0,-6.254595,78.36691
liraglutide,16153050.0,50.104115,-12.927799
inarigivir,,25.797504,-10.153263
bexagliflozin,25195624.0,-3.6146593,1.2114942
cinobufotalin,259776.0,8.07558,-28.043823
alisertib,24771867.0,51.51241,23.541294
butibufen,71314316.0,-36.723778,-42.62936
miridesap,125516.0,28.167543,-42.46192
efaroxan,11957548.0,-39.170834,-55.474655
am-580,2126.0,-34.225662,37.20342
l-152804,969478.0,-29.791283,-32.104446
a61603,6604803.0,-12.667284,-49.0183
tangeritin,68077.0,9.672396,35.275753
kaempferol,5280863.0,-16.408955,54.89171
nialamide,4472.0,-36.298923,-6.2295237
efatutazone,76962475.0,50.854797,24.241426
doxercalciferol,46931009.0,3.8379357,-40.789986
pf-06273340,66571548.0,43.302948,33.989025
cintirorgon,124126348.0,25.701775,28.267189
neridronic-acid,71237.0,37.271484,-35.2661
tyrphostin-ag-99,5328768.0,-12.697955,-68.57112
nampt-in-1,92044379.0,-15.704435,0.83419335
vanillylacetone,31211.0,-40.14877,-57.88115
nsc-663284,379077.0,-17.100563,-43.335155
sitaxentan,216235.0,7.4813867,32.724957
osemozotan,198747.0,-29.19432,16.995615
drofenine,38988270.0,-33.739014,-37.56316
semapimod,492132.0,36.59833,-11.646234
erteberel,10286159.0,-54.480064,20.85347
inc-280,25145656.0,69.65324,12.660139
acoziborole,44178354.0,-50.679276,11.562667
merimepodib,153241.0,11.12987,25.076479
bqu57,,-49.04393,15.759368
cnx-2006,56968072.0,16.001657,21.322613
s63845,122197581.0,45.981045,7.2573886
estrone,5870.0,-45.433704,-40.058266
fk-3311,164009.0,-39.111164,18.34607
tubocurarine,6000.0,76.173,-20.121248
clinofibrate,,-16.522234,24.692286
indirubin,,-61.47533,3.2838912
droxidopa,92974.0,-8.464081,-71.21178
amphotericin-b,91827561.0,34.910885,-4.3509398
s18986,637863.0,-35.59911,-59.993946
luzindole,122162.0,-2.7575836,66.66184
posaconazole,468595.0,48.26897,9.573577
diphemanil,6127.0,76.699585,-16.42737
methoxyamine,4113.0,39.829315,-60.604176
perphenazine,4748.0,-30.597794,26.344433
ap-18,9584673.0,-45.8774,-47.06892
isoleucine,76551.0,34.886658,-55.856922
vlx600,6806409.0,52.940384,45.411057
lamivudine,60825.0,-11.48176,-62.14379
hemomex-s,11468733.0,6.927746,-38.28358
baloxavir-marboxil,124081896.0,20.458302,23.757534
allylestrenol,235905.0,8.422727,-52.506065
fulvestrant,57300161.0,2.7223814,-9.812477
rwj-21757,135410906.0,-17.743475,-15.612773
ttp-22,1536915.0,1.514615,65.20532
jnj-26990990,11687376.0,-60.777874,-3.105869
taurocholate,6675.0,16.902117,-28.822662
acy-1215,53340666.0,12.721018,29.674019
aniracetam,2196.0,-44.55976,-56.581238
nocodazole,4122.0,-12.675786,61.00277
tenofovir,464205.0,-24.584047,-12.368764
opicapone,135565903.0,-2.3271253,32.793232
trans-2-undecenoic-acid,5282728.0,24.076443,-54.41912
brefeldin-a,5287620.0,16.535265,-55.82883
xibenolol,12179892.0,-29.509838,-47.935825
plx647,11545419.0,67.13258,38.366432
ak-7,1328033.0,-32.85081,32.173626
bi-2536,11364421.0,-3.8322752,8.335669
d-delta-tocopherol,92094.0,0.7133712,-11.443705
yk-4-279,93948843.0,-32.28533,6.595313
ha-130,46911532.0,13.984524,32.460567
pd-407824,4369491.0,55.790302,46.4097
bx-912,11754511.0,9.40575,27.0853
itopride,3792.0,-28.159575,19.646929
azm-475271,5330175.0,13.710048,35.114716
cilazapril,56330.0,-8.299449,-36.551056
methylprednisolone-sodium-succinate,16923.0,16.780945,-29.708656
benfluralin,2319.0,-20.959812,-33.3979
"cp-105,696",9867257.0,21.851671,51.754963
nedocromil,50294.0,-2.444468,40.187473
l-ergothioneine,3037043.0,81.42193,-13.135611
